isn't,is not
aren't,are not
weren't,were not
wasn't,was not
cannot,can not
can't,can not
couldn't,could not
didn't,did not
doesn't,does not
doesnot,does not
don't,do not
dont,do not
donot,do not
hasn't,has not
haven't,have not
havent,have not
hadn't,had not
i'll,I will
i'd,I would
i'm,I am
it'd,it would
it'll,it will
it's,it is
i've,I have
shouldn't,should not
that's,that is
there're,there are
there's,there is
they're,they are
we're,we are
we've,we have
won't,will not
wouldn't,would not
you'll,you will
